Province,District,School_Name,Year,Overall_Dropout_Percentage,Male_Dropout_Percentage,Female_Dropout_Percentage,Completion_Total,Attendance_Rate,Avg_Household_Income_RWF,Region_Type,Dropout_Risk_Level,Dropout_Risk_Prediction,Dropout_Risk_Probability
Kigali,Gasabo,GS Mweya,2010,20.96,23.61,18.31,63.65,78.37,488468,Urban,High Risk,1,0.952204906204906
Kigali,Gasabo,GS Buye,2011,11.26,19.88,2.64,91.51,60.03,203355,Urban,Low Risk,0,0.10142426864307169
Kigali,Gasabo,ES Kigoma,2012,9.97,18.74,1.2,63.7,75.99,249503,Urban,Low Risk,0,0.08198991085558928
Kigali,Gasabo,GS Gitega,2013,22.02,29.51,14.54,88.51,78.02,449457,Urban,High Risk,1,0.9438668439403735
Kigali,Gasabo,GS Kinteko,2014,14.76,17.34,12.18,56.17,69.64,254555,Urban,Low Risk,0,0.12690817357102901
Kigali,Gasabo,GS Mubuga,2015,15.6,25.16,6.03,64.33,90.21,559773,Urban,High Risk,1,0.8300193549030758
Kigali,Gasabo,GS Gitega,2016,9.69,17.46,1.91,82.3,75.81,199299,Urban,Low Risk,0,0.06793416100542139
Kigali,Gasabo,GS Akumunigo,2017,22.49,16.1,28.87,89.8,81.59,448951,Urban,High Risk,1,0.9345161661375454
Kigali,Gasabo,GS Ruramira,2018,10.91,16.74,5.09,71.92,99.48,220151,Urban,Low Risk,0,0.1257281990318396
Kigali,Gasabo,GS Akumunigo,2019,12.9,1.16,24.65,85.9,90.85,400804,Urban,Low Risk,0,0.06914027835720005
Kigali,Gasabo,GS Mweya,2020,26.59,27.53,25.65,63.62,74.83,177373,Urban,High Risk,1,0.985521934679474
Kigali,Gasabo,New Vision,2021,13.56,18.15,8.97,73.6,98.87,258338,Urban,Low Risk,0,0.1039546388262829
Kigali,Gasabo,GS Akumunigo,2022,8.13,7.84,8.43,68.78,64.44,123419,Urban,Low Risk,0,0.03224118439595135
Kigali,Gasabo,GS Mubuga,2023,14.79,19.46,10.12,85.4,69.97,549260,Urban,Low Risk,0,0.17625050036162637
Kigali,Gasabo,GS Akumunigo,2024,19.76,18.37,21.15,87.62,71.83,209556,Urban,High Risk,1,0.9740932698106205
Kigali,Gasabo,GS Rukomo,2010,20.53,16.64,24.42,80.35,64.4,228376,Urban,High Risk,1,0.9289082785282115
Kigali,Gasabo,GS Rukomo,2011,13.58,25.96,1.2,73.2,68.88,591314,Urban,Low Risk,0,0.1320252104732006
Kigali,Gasabo,GS Kimironko II,2012,13.21,10.37,16.04,76.67,98.87,293075,Urban,Low Risk,0,0.09364848051836047
Kigali,Gasabo,GS Mweya,2013,9.49,9.73,9.26,66.16,80.11,474325,Urban,Low Risk,0,0.059444532022418874
Kigali,Gasabo,GS Migongo,2014,17.64,27.34,7.95,65.86,99.43,580671,Urban,High Risk,1,0.7051399033261778
Kigali,Gasabo,GS Gahanga I,2015,15.49,23.09,7.89,77.4,85.29,558949,Urban,High Risk,1,0.7717766917713519
Kigali,Gasabo,GS Kinteko,2016,14.42,3.62,25.22,62.68,61.63,411955,Urban,Low Risk,0,0.13460577673692428
Kigali,Gasabo,GS Akumunigo,2017,11.71,15.85,7.57,70.49,87.64,171295,Urban,Low Risk,0,0.12134165468619372
Kigali,Gasabo,GS Camp Kigali,2018,7.94,4.99,10.89,75.95,95.09,130306,Urban,Low Risk,0,0.024041022880615416
Kigali,Gasabo,Mater Dei,2019,20.9,24.7,17.1,69.29,63.72,383076,Urban,High Risk,1,0.9765461644204132
Kigali,Gasabo,GS Nyacyina,2020,7.78,6.47,9.09,88.68,94.25,483029,Urban,Low Risk,0,0.03740091914427828
Kigali,Gasabo,GS Nyacyina,2021,26.91,25.68,28.13,86.36,83.23,488207,Urban,High Risk,1,0.9741609174407684
Kigali,Gasabo,GS Mweya,2022,3.41,1.15,5.66,81.02,86.08,212296,Urban,Low Risk,0,0.012863835154752383
Kigali,Gasabo,GS Migongo,2023,9.16,7.88,10.44,84.9,93.97,186416,Urban,Low Risk,0,0.012747129083873867
Kigali,Gasabo,GS Matara,2024,17.6,15.76,19.45,71.01,99.16,305362,Urban,High Risk,1,0.8830797571213899
