Province,District,Sector,School_Name,Year,Male_Dropout_Percentage,Female_Dropout_Percentage,Overall_Dropout_Percentage,Completion_Male,Completion_Female,Completion_Total,Reenrollment_Rate,Attendance_Rate,Avg_Household_Income_RWF,Teacher_Student_Ratio,Latitude,Longitude
Kigali,Gasabo,Kinyinya,GS Mweya,2010,23.61,18.31,20.96,72.29,55.0,63.65,2.86,78.37,488468,1:40,-2.12583,30.90143
Kigali,Gasabo,Gisozi,GS Buye,2011,19.88,2.64,11.26,86.1,96.93,91.51,12.35,60.03,203355,1:40,-2.12583,30.90143
Kigali,Gasabo,Gatsata,ES Kigoma,2012,18.74,1.2,9.97,51.15,76.24,63.7,7.65,75.99,249503,1:40,-2.12583,30.90143
Kigali,Gasabo,Gatsata,GS Gitega,2013,29.51,14.54,22.02,93.0,84.02,88.51,18.84,78.02,449457,1:40,-2.12583,30.90143
Kigali,Gasabo,Kimironko,GS Kinteko,2014,17.34,12.18,14.76,50.8,61.54,56.17,12.2,69.64,254555,1:40,-2.12583,30.90143
Kigali,Gasabo,Nduba,GS Mubuga,2015,25.16,6.03,15.6,69.55,59.11,64.33,4.16,90.21,559773,1:40,-2.12583,30.90143
Kigali,Gasabo,Kimironko,GS Gitega,2016,17.46,1.91,9.69,92.11,72.49,82.3,11.41,75.81,199299,1:40,-2.12583,30.90143
Kigali,Gasabo,Kimironko,GS Akumunigo,2017,16.1,28.87,22.49,92.23,87.37,89.8,5.62,81.59,448951,1:40,-2.12583,30.90143
Kigali,Gasabo,Jabana,GS Ruramira,2018,16.74,5.09,10.91,90.11,53.73,71.92,3.97,99.48,220151,1:40,-2.12583,30.90143
Kigali,Gasabo,Rutunga,GS Akumunigo,2019,1.16,24.65,12.9,85.34,86.45,85.9,13.02,90.85,400804,1:40,-2.12583,30.90143
Kigali,Gasabo,Jali,GS Mweya,2020,27.53,25.65,26.59,72.47,54.77,63.62,13.32,74.83,177373,1:40,-2.12583,30.90143
